drug_use_freq,grade,sex,bmi,race4,drunk_driving,text_driving,carrying_weapon,suicide_attempt,quit_smoke,physical_fight,early_sex,screening_use,heavy_screen_use,sleeping_time,enough_sleep,smoking_status,binge_drinking,seat_belt,grades_school,smoke_age,alcohol_age,age_initial_alcohol,age_initial_smoking
No Drug Use,9th Grade,male,15.3638,Hispanic/Latino,No,Yes,No,No,Never Smoke,Yes,No,2,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,9 or 10 years old,9.5,NA
No Drug Use,9th Grade,male,14.9004,White,No,Yes,No,No,Never Smoke,No,No,4,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,8 years old or younger,8,NA
No Drug Use,9th Grade,male,30.0988,White,No,Yes,No,No,Never Smoke,Yes,No,5,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,19.9927,Black or African American,No,Yes,No,No,Never Smoke,No,No,5,Yes,4,No,Never Smoker,No Binge Drinking,Sometimes,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,30.3888,White,No,Yes,No,No,Never Smoke,No,No,7,Yes,10,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,22.4298,All other Races,No,No,No,No,Never Smoke,No,No,3.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,28.707,White,No,Yes,No,Yes,Never Smoke,Yes,No,1.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,11 or 12 years old,11 or 12 years old,11.5,11.5
No Drug Use,9th Grade,male,21.3407,White,No,Yes,No,No,Never Smoke,Yes,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,26.6612,White,No,No,No,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,11 or 12 years old,never,NA,11.5
No Drug Use,9th Grade,male,24.1071,White,No,No,No,No,No,Yes,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,11 or 12 years old,9 or 10 years old,9.5,11.5
No Drug Use,9th Grade,male,24.1071,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,23.0494,Black or African American,No,No,No,No,Never Smoke,No,Yes,0,No,4,No,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,26.31,All other Races,No,No,No,No,Never Smoke,No,No,5,Yes,8,Yes,Never Smoker,No Binge Drinking,Never or Rarely,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,20.4048,White,No,Yes,No,No,Never Smoke,No,No,5.5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,19.1832,Black or African American,Yes,Yes,No,No,Never Smoke,No,No,2,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,18.8339,White,No,Yes,No,No,Never Smoke,No,No,7,Yes,9,Yes,Never Smoker,No Binge Drinking,Sometimes,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,18.8803,White,No,Yes,No,No,Never Smoke,No,No,3.5,No,8,Yes,Never Smoker,No Binge Drinking,Never or Rarely,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,25.9513,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,No,4,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,18.4024,Hispanic/Latino,No,No,No,No,Never Smoke,No,No,3,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,21.9723,All other Races,No,No,No,No,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,9th Grade,male,19.285,White,No,Yes,No,No,Never Smoke,No,No,4,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,22.1484,All other Races,No,Yes,No,Yes,Never Smoke,No,No,5,Yes,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,9th Grade,male,33.4876,White,No,Yes,No,No,Never Smoke,No,No,2.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Heavy Dose,9th Grade,male,18.1492,White,No,No,No,No,Never Smoke,Yes,Yes,2,No,9,Yes,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
Light Dose,9th Grade,male,18.6082,White,No,Yes,Yes,Yes,Never Smoke,No,Yes,5,Yes,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Not sure,13 or 14 years old,never,NA,13.5
Light Dose,9th Grade,male,16.7994,White,No,Yes,No,Yes,Never Smoke,No,No,5,Yes,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,28.7232,White,No,Yes,No,No,Never Smoke,Yes,Yes,4.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,8 years old or younger,8,NA
No Drug Use,9th Grade,male,NA,Black or African American,No,Yes,No,No,Never Smoke,No,Yes,2.5,No,8,Yes,Never Smoker,No Binge Drinking,Never or Rarely,Mostly C's,never,never,NA,NA
No Drug Use,9th Grade,male,26.9043,White,No,No,No,No,Never Smoke,No,No,8,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,9 or 10 years old,9.5,NA
No Drug Use,9th Grade,male,18.1864,White,No,Yes,No,No,Never Smoke,Yes,Yes,1,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
Light Dose,10th Grade,male,19.5988,White,No,Yes,No,No,Never Smoke,No,No,7,Yes,5,No,Never Smoker,No Binge Drinking,Sometimes,Mostly Below C's,never,never,NA,NA
No Drug Use,10th Grade,male,33.7969,All other Races,No,No,No,No,Never Smoke,No,No,3.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,24.9917,Black or African American,No,Yes,No,No,Never Smoke,Yes,No,0.5,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,21.3754,Black or African American,No,Yes,No,No,Never Smoke,No,No,5.5,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Not sure,never,never,NA,NA
No Drug Use,10th Grade,male,25.0969,Hispanic/Latino,No,Yes,Yes,No,Never Smoke,Yes,Yes,1,No,7,No,Never Smoker,No Binge Drinking,Never or Rarely,Mostly Below C's,never,never,NA,NA
Light Dose,9th Grade,male,20.9162,White,Yes,Yes,No,Yes,No,No,No,1.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Not sure,15 or 16 years old,13 or 14 years old,13.5,15.5
No Drug Use,9th Grade,male,19.6124,White,No,Yes,No,No,Never Smoke,No,No,1.5,No,7,No,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,10th Grade,male,26.0573,All other Races,No,No,No,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,21.8671,White,No,Yes,No,Yes,Never Smoke,Yes,No,5.5,Yes,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,17.6679,White,No,Yes,No,No,Never Smoke,No,No,6,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,25.3099,White,No,No,No,No,Never Smoke,No,No,3.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,30.7789,White,No,Yes,No,No,Never Smoke,Yes,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,21.4746,White,No,No,No,No,Never Smoke,No,No,2.5,No,8,Yes,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,33.7439,White,No,Yes,Yes,No,Never Smoke,Yes,No,4,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,16.1785,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,21.0474,White,Yes,No,No,No,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,24.1696,White,No,No,No,No,Never Smoke,No,No,2.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,18.8991,White,No,No,No,No,Yes,Yes,No,2,No,10,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,male,29.5184,Black or African American,No,No,No,No,Never Smoke,No,Yes,6,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
